"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",2.55575405283537e-09
"44",0
"45",0.000190698778523291
"46",0.127546011238384
"47",0
"48",0
"49",0.000192130209377805
"50",6.83185875405279e-06
"51",0
"52",0
"53",0
"54",0
"55",5.15657824218252e-08
"56",0
"57",0
"58",0
"59",0
"60",0
"61",2.19327843837824e-05
"62",0
"63",0
"64",0
"65",0
"66",1.72762449034414e-05
"67",0.00990080113176617
"68",0.00348415894605025
"69",0.0411690182140583
"70",6.12686178171895e-05
"71",0.0245360899665973
"72",0.00280411512821488
"73",0.0283416628381555
"74",0
"75",0
"76",1.01165742449894e-11
"77",7.65859554663351e-08
"78",0.00098643633004869
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0.0413213079256808
"120",0
"121",0
"122",0.000220412431790384
"123",1.86259189183247e-08
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",6.77796707648781e-11
"143",0
"144",2.44249065417534e-15
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0
"161",0
"162",0
"163",1.11022302462516e-15
"164",0
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",0
"179",0
"180",0
"181",0
"182",0
"183",0
"184",0
"185",0
"186",0
"187",0
"188",0
"189",0
"190",0
"191",0
"192",2.26329908148415e-08
"193",0
"194",0
"195",0
"196",0
"197",0
"198",0
"199",7.85828538907296e-08
"200",0
"201",4.80661824053819e-06
"202",0
"203",4.07562872339895e-12
"204",0
"205",0
"206",1.72567071743401e-10
"207",0
"208",0
"209",0
"210",0
"211",0
"212",0
"213",0
"214",0
"215",0
"216",0
"217",0
"218",0
"219",0
"220",0
"221",0
"222",0
"223",0
"224",0
"225",0
"226",0
"227",0
"228",0
"229",0
"230",0
"231",0
"232",0
"233",0
"234",0
"235",0
"236",0
"237",0
"238",0
"239",0
"240",0
"241",0
"242",4.54847180975104e-06
"243",2.6013857734597e-11
"244",0.000858315754993177
"245",0
"246",0
"247",2.52178289361638e-08
"248",0.000507496291733855
"249",6.08171321530016e-05
"250",0
"251",2.03170813506404e-14
"252",0
"253",0
"254",0
"255",0
"256",0
"257",0
"258",0
"259",0
"260",0
"261",0
"262",0
"263",0
"264",1.17799324131918e-05
"265",0
"266",0
"267",0
"268",0
"269",0
"270",0
"271",0
"272",0
"273",0
"274",2.19624751718328e-08
"275",0
"276",0
"277",0
"278",0
"279",0
"280",0
"281",0
"282",0
"283",0
"284",0
"285",0
"286",0
"287",0
"288",0
"289",0
"290",0
"291",0
"292",0
"293",0
"294",0
"295",0
"296",0
"297",0
"298",0
"299",0
"300",0
"301",0
"302",0
"303",0
"304",0
"305",0
"306",0
"307",0
"308",0
"309",0
"310",0
"311",0
"312",0
"313",0
"314",0
"315",0
"316",0
"317",0
"318",0
"319",0
"320",0
"321",0
"322",0
"323",0
"324",0
"325",0
"326",0
"327",0
"328",0
"329",0
"330",0
"331",0
"332",0
"333",0
"334",0
"335",0
"336",0
"337",0
"338",0
"339",0
"340",0
"341",0
"342",0
"343",0
"344",0
"345",0
"346",0
"347",0
"348",0
"349",0
"350",0
"351",0
"352",0
"353",0
"354",0
"355",0
"356",0
"357",0
"358",0
"359",0
"360",0
"361",0
"362",0
"363",0
"364",0
"365",0
"366",6.11725409809249e-05
"367",0
"368",1.50343071325665e-11
"369",0
"370",0
"371",0
"372",0
"373",0
"374",0
"375",0
"376",0
"377",0
"378",0
"379",0
"380",0
"381",0
"382",4.22994972382185e-14
"383",0
"384",0
"385",0
"386",0
"387",0
"388",0
"389",0
"390",0
"391",0
"392",0
"393",0
"394",0
"395",1.11022302462516e-16
"396",0
"397",0
"398",0
"399",0
"400",0
"401",0
"402",0
"403",0
"404",6.04675198800919e-11
"405",0
