"Participante","Canal","EpocaMOR","NumEpoca","Valido","Estacionario","Grupo","Etapa","Indice"
7,"T3",0,0,1,1,1,0,2
7,"T3",0,0,1,1,1,0,3
7,"T3",0,0,1,0,1,0,4
7,"T3",0,0,1,0,1,0,5
7,"T3",0,0,1,0,1,0,6
7,"T3",0,0,1,0,1,0,7
7,"T3",0,0,1,0,1,0,8
7,"T3",0,0,1,0,1,0,9
7,"T3",0,0,1,0,1,0,10
7,"T3",0,0,1,0,1,1,11
7,"T3",0,0,1,1,1,1,12
7,"T3",0,0,1,0,1,1,13
7,"T3",0,0,1,0,1,1,14
7,"T3",0,0,1,1,1,1,15
7,"T3",0,0,1,0,1,1,16
7,"T3",0,0,1,0,1,1,17
7,"T3",0,0,1,0,1,1,18
7,"T3",0,0,1,0,1,1,19
7,"T3",0,0,1,1,1,1,20
7,"C4",0,0,1,1,1,0,1
7,"C4",0,0,1,1,1,0,2
7,"C4",0,0,1,1,1,0,3
7,"C4",0,0,1,1,1,0,4
7,"C4",0,0,1,0,1,0,5
7,"C4",0,0,1,1,1,0,6
7,"C4",0,0,1,0,1,0,7
7,"C4",0,0,1,0,1,0,8
7,"C4",0,0,1,0,1,0,9
7,"C4",0,0,1,1,1,0,10
7,"C4",0,0,1,1,1,1,11
7,"C4",0,0,1,0,1,1,12
7,"C4",0,0,1,1,1,1,13
7,"C4",0,0,1,1,1,1,14
7,"C4",0,0,1,0,1,1,15
7,"C4",0,0,1,1,1,1,16
7,"C4",0,0,1,0,1,1,17
7,"C4",0,0,1,0,1,1,18
7,"C4",0,0,1,1,1,1,19
7,"C4",0,0,1,1,1,1,20
7,"C3",0,0,1,1,1,0,1
7,"C3",0,0,1,0,1,0,2
7,"C3",0,0,1,1,1,0,3
7,"C3",0,0,1,0,1,0,4
7,"C3",0,0,1,1,1,0,5
7,"C3",0,0,1,0,1,0,6
7,"C3",0,0,1,0,1,0,7
7,"C3",0,0,1,0,1,0,8
7,"C3",0,0,1,0,1,0,9
7,"C3",0,0,1,0,1,0,10
7,"C3",0,0,1,1,1,1,11
7,"C3",0,0,1,1,1,1,12
7,"C3",0,0,1,1,1,1,13
7,"C3",0,0,1,1,1,1,14
7,"C3",0,0,1,1,1,1,15
7,"C3",0,0,1,1,1,1,16
7,"C3",0,0,1,0,1,1,17
7,"C3",0,0,1,0,1,1,18
7,"C3",0,0,1,0,1,1,19
7,"C3",0,0,1,0,1,1,20
7,"T6",0,0,1,1,1,0,1
7,"T6",0,0,1,1,1,0,2
7,"T6",0,0,1,0,1,0,3
7,"T6",0,0,1,1,1,0,4
7,"T6",0,0,1,1,1,0,5
7,"T6",0,0,1,0,1,0,6
7,"T6",0,0,1,0,1,0,7
7,"T6",0,0,1,0,1,0,8
7,"T6",0,0,1,0,1,0,9
7,"T6",0,0,1,1,1,0,10
7,"T6",0,0,1,1,1,1,11
7,"T6",0,0,1,0,1,1,12
7,"T6",0,0,1,1,1,1,13
7,"T6",0,0,1,1,1,1,14
7,"T6",0,0,1,1,1,1,15
7,"T6",0,0,1,1,1,1,16
7,"T6",0,0,1,1,1,1,17
7,"T6",0,0,1,1,1,1,18
7,"T6",0,0,1,1,1,1,19
7,"T6",0,0,1,1,1,1,20
7,"T5",0,0,1,1,1,0,1
7,"T5",0,0,1,1,1,0,2
7,"T5",0,0,1,0,1,0,3
7,"T5",0,0,1,0,1,0,4
7,"T5",0,0,1,0,1,0,5
7,"T5",0,0,1,0,1,0,6
7,"T5",0,0,1,1,1,0,7
7,"T5",0,0,1,0,1,0,8
7,"T5",0,0,1,0,1,0,9
7,"T5",0,0,1,1,1,0,10
7,"T5",0,0,1,1,1,1,11
7,"T5",0,0,1,0,1,1,12
7,"T5",0,0,1,0,1,1,13
7,"T5",0,0,1,0,1,1,14
7,"T5",0,0,1,1,1,1,15
7,"T5",0,0,1,1,1,1,16
7,"T5",0,0,1,1,1,1,17
7,"T5",0,0,1,1,1,1,18
7,"T5",0,0,1,0,1,1,19
7,"T5",0,0,1,1,1,1,20
7,"P4",0,0,1,1,1,0,1
7,"P4",0,0,1,1,1,0,2
7,"P4",0,0,1,0,1,0,3
7,"P4",0,0,1,0,1,0,4
7,"P4",0,0,1,1,1,0,5
7,"P4",0,0,1,0,1,0,6
7,"P4",0,0,1,1,1,0,7
7,"P4",0,0,1,0,1,0,8
7,"P4",0,0,1,1,1,0,9
7,"P4",0,0,1,1,1,0,10
7,"P4",0,0,1,1,1,1,11
7,"P4",0,0,1,1,1,1,12
7,"P4",0,0,1,1,1,1,13
7,"P4",0,0,1,1,1,1,14
7,"P4",0,0,1,1,1,1,15
7,"P4",0,0,1,1,1,1,16
7,"P4",0,0,1,1,1,1,17
7,"P4",0,0,1,1,1,1,18
7,"P4",0,0,1,0,1,1,19
7,"P4",0,0,1,0,1,1,20
7,"P3",0,0,1,1,1,0,1
7,"P3",0,0,1,1,1,0,2
7,"P3",0,0,1,0,1,0,3
7,"P3",0,0,1,1,1,0,4
7,"P3",0,0,1,0,1,0,5
7,"P3",0,0,1,0,1,0,6
7,"P3",0,0,1,0,1,0,7
7,"P3",0,0,1,0,1,0,8
7,"P3",0,0,1,0,1,0,9
7,"P3",0,0,1,1,1,0,10
7,"P3",0,0,1,0,1,1,11
7,"P3",0,0,1,0,1,1,12
7,"P3",0,0,1,0,1,1,13
7,"P3",0,0,1,1,1,1,14
7,"P3",0,0,1,0,1,1,15
7,"P3",0,0,1,1,1,1,16
7,"P3",0,0,1,0,1,1,17
7,"P3",0,0,1,0,1,1,18
7,"P3",0,0,1,1,1,1,19
7,"P3",0,0,1,1,1,1,20
7,"O2",0,0,1,1,1,0,1
7,"O2",0,0,1,1,1,0,2
7,"O2",0,0,1,0,1,0,3
7,"O2",0,0,1,1,1,0,4
7,"O2",0,0,1,1,1,0,5
7,"O2",0,0,1,0,1,0,6
7,"O2",0,0,1,0,1,0,7
7,"O2",0,0,1,0,1,0,8
7,"O2",0,0,1,0,1,0,9
7,"O2",0,0,1,1,1,0,10
7,"O2",0,0,1,1,1,1,11
7,"O2",0,0,1,1,1,1,12
7,"O2",0,0,1,1,1,1,13
7,"O2",0,0,1,1,1,1,14
7,"O2",0,0,1,0,1,1,15
7,"O2",0,0,1,1,1,1,16
7,"O2",0,0,1,0,1,1,17
7,"O2",0,0,1,1,1,1,18
7,"O2",0,0,1,0,1,1,19
7,"O2",0,0,1,1,1,1,20
7,"O1",0,0,1,1,1,0,1
7,"O1",0,0,1,1,1,0,2
7,"O1",0,0,1,0,1,0,3
7,"O1",0,0,1,0,1,0,4
7,"O1",0,0,1,0,1,0,5
7,"O1",0,0,1,0,1,0,6
7,"O1",0,0,1,0,1,0,7
7,"O1",0,0,1,0,1,0,8
7,"O1",0,0,1,1,1,0,9
7,"O1",0,0,1,0,1,0,10
7,"O1",0,0,1,0,1,1,11
7,"O1",0,0,1,0,1,1,12
7,"O1",0,0,1,1,1,1,13
7,"O1",0,0,1,1,1,1,14
7,"O1",0,0,1,1,1,1,15
7,"O1",0,0,1,1,1,1,16
7,"O1",0,0,1,1,1,1,17
7,"O1",0,0,1,0,1,1,18
7,"O1",0,0,1,0,1,1,19
7,"O1",0,0,1,1,1,1,20
7,"FZ",0,0,1,1,1,0,1
7,"FZ",0,0,1,0,1,0,2
7,"FZ",0,0,1,1,1,0,3
7,"FZ",0,0,1,1,1,0,4
7,"FZ",0,0,1,1,1,0,5
7,"FZ",0,0,1,0,1,0,6
7,"FZ",0,0,1,0,1,0,7
7,"FZ",0,0,1,1,1,0,8
7,"FZ",0,0,1,0,1,0,9
7,"FZ",0,0,1,1,1,0,10
7,"FZ",0,0,1,1,1,1,11
7,"FZ",0,0,1,1,1,1,12
7,"FZ",0,0,1,1,1,1,13
7,"FZ",0,0,1,1,1,1,14
7,"FZ",0,0,1,0,1,1,15
7,"FZ",0,0,1,0,1,1,16
7,"FZ",0,0,1,0,1,1,17
7,"FZ",0,0,1,1,1,1,18
7,"FZ",0,0,1,0,1,1,19
7,"FZ",0,0,1,1,1,1,20
7,"CZ",0,0,1,1,1,0,1
7,"CZ",0,0,1,1,1,0,2
7,"CZ",0,0,1,1,1,0,3
7,"CZ",0,0,1,1,1,0,4
7,"CZ",0,0,1,0,1,0,5
7,"CZ",0,0,1,1,1,0,6
7,"CZ",0,0,1,0,1,0,7
7,"CZ",0,0,1,0,1,0,8
7,"CZ",0,0,1,0,1,0,9
7,"CZ",0,0,1,1,1,0,10
7,"CZ",0,0,1,1,1,1,11
7,"CZ",0,0,1,1,1,1,12
7,"CZ",0,0,1,1,1,1,13
7,"CZ",0,0,1,1,1,1,14
7,"CZ",0,0,1,0,1,1,15
7,"CZ",0,0,1,1,1,1,16
7,"CZ",0,0,1,0,1,1,17
7,"CZ",0,0,1,1,1,1,18
7,"CZ",0,0,1,0,1,1,19
7,"CZ",0,0,1,1,1,1,20
7,"PZ",0,0,1,1,1,0,1
7,"PZ",0,0,1,1,1,0,2
7,"PZ",0,0,1,0,1,0,3
7,"PZ",0,0,1,1,1,0,4
7,"PZ",0,0,1,1,1,0,5
7,"PZ",0,0,1,0,1,0,6
7,"PZ",0,0,1,0,1,0,7
7,"PZ",0,0,1,0,1,0,8
7,"PZ",0,0,1,0,1,0,9
7,"PZ",0,0,1,0,1,0,10
7,"PZ",0,0,1,0,1,1,11
7,"PZ",0,0,1,0,1,1,12
7,"PZ",0,0,1,1,1,1,13
7,"PZ",0,0,1,1,1,1,14
7,"PZ",0,0,1,0,1,1,15
7,"PZ",0,0,1,1,1,1,16
7,"PZ",0,0,1,0,1,1,17
7,"PZ",0,0,1,1,1,1,18
7,"PZ",0,0,1,0,1,1,19
7,"PZ",0,0,1,0,1,1,20
7,"LOG",0,0,1,1,1,0,1
7,"LOG",0,0,1,1,1,0,2
7,"LOG",0,0,1,1,1,0,3
7,"LOG",0,0,1,0,1,0,4
7,"LOG",0,0,1,1,1,0,5
7,"LOG",0,0,1,1,1,0,6
7,"LOG",0,0,1,1,1,0,7
7,"LOG",0,0,1,1,1,0,8
7,"LOG",0,0,1,0,1,0,9
7,"LOG",0,0,1,1,1,0,10
7,"LOG",0,0,1,1,1,1,11
7,"LOG",0,0,1,1,1,1,12
7,"LOG",0,0,1,1,1,1,13
7,"LOG",0,0,1,1,1,1,14
7,"LOG",0,0,1,1,1,1,15
7,"LOG",0,0,1,1,1,1,16
7,"LOG",0,0,1,1,1,1,17
7,"LOG",0,0,1,1,1,1,18
7,"LOG",0,0,1,1,1,1,19
7,"LOG",0,0,1,1,1,1,20
7,"ROG",0,0,1,1,1,0,1
7,"ROG",0,0,1,1,1,0,2
7,"ROG",0,0,1,1,1,0,3
7,"ROG",0,0,1,1,1,0,4
7,"ROG",0,0,1,1,1,0,5
7,"ROG",0,0,1,0,1,0,6
7,"ROG",0,0,1,1,1,0,7
7,"ROG",0,0,1,1,1,0,8
7,"ROG",0,0,1,1,1,0,9
7,"ROG",0,0,1,1,1,0,10
7,"ROG",0,0,1,1,1,1,11
7,"ROG",0,0,1,1,1,1,12
7,"ROG",0,0,1,1,1,1,13
7,"ROG",0,0,1,1,1,1,14
7,"ROG",0,0,1,1,1,1,15
7,"ROG",0,0,1,1,1,1,16
7,"ROG",0,0,1,1,1,1,17
7,"ROG",0,0,1,1,1,1,18
7,"ROG",0,0,1,1,1,1,19
7,"ROG",0,0,1,1,1,1,20
7,"EMG",0,0,1,1,1,0,1
7,"EMG",0,0,1,1,1,0,2
7,"EMG",0,0,1,1,1,0,3
7,"EMG",0,0,1,1,1,0,4
7,"EMG",0,0,1,1,1,0,5
7,"EMG",0,0,1,1,1,0,6
7,"EMG",0,0,1,0,1,0,7
7,"EMG",0,0,1,1,1,0,8
7,"EMG",0,0,1,1,1,0,9
7,"EMG",0,0,1,1,1,0,10
7,"EMG",0,0,1,1,1,1,11
7,"EMG",0,0,1,1,1,1,12
7,"EMG",0,0,1,1,1,1,13
7,"EMG",0,0,1,0,1,1,14
7,"EMG",0,0,1,1,1,1,15
7,"EMG",0,0,1,1,1,1,16
7,"EMG",0,0,1,1,1,1,17
7,"EMG",0,0,1,1,1,1,18
7,"EMG",0,0,1,0,1,1,19
7,"EMG",0,0,1,1,1,1,20
