"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",5.85540284647745e-06
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",8.00643153953118e-06
"23",5.60662627435704e-14
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",9.49723914519529e-05
"33",0
"34",0.00124045703828801
"35",9.90635625498504e-05
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0.00220847632527854
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",4.21884749357559e-15
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",1.11022302462516e-16
"61",0
"62",5.88418203051333e-15
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",1.22918694256402e-06
"81",0
"82",0
"83",0
"84",0
"85",8.35910976019205e-05
"86",0
"87",0
"88",0
"89",3.21964677141295e-15
"90",0.00523441866573571
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0
"97",7.84442155676857e-09
"98",1.11022302462516e-16
"99",1.23108190308585e-11
"100",0
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0.064942206770315
"117",0
"118",0.000647683123817133
"119",0
"120",1.13068278012607e-05
"121",0
"122",0
"123",1.45673917373301e-10
"124",0
"125",0
"126",0
"127",0
"128",6.46715903052097e-10
"129",1.16617363113969e-05
"130",0
"131",0
"132",0
"133",1.93078486532272e-09
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",1.11022302462516e-16
"156",0
"157",0
"158",0
"159",0
"160",0
"161",0
"162",0
"163",0
"164",0
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",0
"179",0
"180",0
"181",0
